cascade no, generation no, line no
1332,1,34
1332,2,83
1332,3,19
1333,1,24
1334,1,175
1335,1,25
1336,1,45
1337,1,92
1338,1,34
1339,1,229
1339,2,25
1339,3,214
1339,4,187
1339,5,8
1339,5,113
1339,6,187
1339,7,322
1339,8,23
1339,9,359
1339,10,240
1339,10,241
1339,11,210
1339,11,459
1339,12,166
1339,12,179
1339,13,446
1339,14,20
1339,15,446
1339,16,144
1340,1,72
1341,1,72
1342,1,408
1342,1,270
1342,1,1
1342,1,111
1342,1,10
1343,1,362
1344,1,362
1345,1,4
1345,2,128
1346,1,2
1347,1,365
1348,1,365
1348,2,86
1349,1,90
1350,1,245
1351,1,228
1352,1,148
1352,2,41
1353,1,148
1354,1,19
1355,1,5
1356,1,204
1357,1,204
1358,1,247
1359,1,148
1360,1,409
1360,1,364
1360,1,185
1361,1,410
1362,1,347
1363,1,175
1364,1,26
1365,1,364
1366,1,143
1367,1,92
1368,1,328
1369,1,41
1370,1,152
1371,1,85
1371,2,195
1371,3,463
1372,1,85
1373,1,85
1374,1,73
1375,1,322
1376,1,73
1377,1,92
1378,1,97
1378,1,350
1379,1,61
1379,1,75
1380,1,225
1381,1,24
1382,1,137
1383,1,270
1384,1,411
1384,2,411
1385,1,101
1386,1,92
1387,1,347
1388,1,208
1389,1,101
1390,1,85
1391,1,83
1392,1,307
1392,2,56
1392,2,436
1392,3,332
1392,4,98
1392,5,66
1392,5,108
1392,6,108
1392,7,120
1393,1,172
1394,1,412
1395,1,129
1396,1,129
1396,2,129
1397,1,174
1398,1,107
1398,2,142
1398,3,116
1398,4,101
1398,4,224
1399,1,267
1400,1,40
1400,2,101
1401,1,40
1402,1,73
1403,1,61
1403,1,75
1404,1,413
1404,1,159
